LSL,Harp
1211492.67031315,5157.599488
1211493.00631435,5157.935488
1211493.28738075,5158.217504
1211494.16335275,5159.093504
1211494.53934355,5159.469504
1211494.70841965,5159.638496
1211495.52048135,5160.449504
1211495.54537915,5160.474496
1211496.05939205,5160.98848
1211496.63427015,5161.563488
1211497.56925665,5162.498496
1211498.04233505,5162.97248
1211498.16824485,5163.098496
1211498.62129615,5163.550496
1211499.29431735,5164.22448
1211499.71232035,5164.642496
1211500.03725815,5164.967488
1211500.17942255,5165.109504
1211500.30324495,5165.233504
1211501.14722185,5166.077504
1211501.74216905,5166.671488
1211502.41404335,5167.343488
1211503.31216715,5168.241504
1211503.92818725,5168.858496
1211504.25732415,5169.187488
1211504.72823815,5169.658496
1211505.24125425,5170.171488
1211505.86716205,5170.79648
1211505.97016735,5170.899488
1211506.39814675,5171.32848
1211506.44497525,5171.374496
1211507.35202035,5172.281504
1211508.16716255,5173.09648
1211508.39803605,5173.327488
1211508.83500525,5173.76448
1211509.43003515,5174.359488
1211510.30699225,5175.23648
1211510.55501265,5175.48448
1211511.44910745,5176.379488
1211511.80315235,5176.733504
1211512.11502825,5177.045504
1211513.05695605,5177.986496
1211513.85092755,5178.78048
1211514.54689365,5179.47648
1211514.70404045,5179.633504
1211515.33587735,5180.265504
1211516.0689622,5180.998496
1211516.4129749,5181.342496
1211517.2228112,5182.15248
1211517.6107802,5182.54048
1211518.4748372,5183.40448
1211518.7607737,5183.690496
1211519.3968315,5184.326496
1211519.5669262,5184.49648
1211520.2398977,5185.169504
1211521.016825,5185.946496
1211521.4678036,5186.397504
1211522.1368228,5187.067488
1211522.6937126,5187.623488
1211523.615763,5188.545504
1211524.2757116,5189.205504
1211524.4676554,5189.397504
1211525.4026876,5190.33248
1211525.4916719,5190.421504
1211526.0387454,5190.96848
1211526.0767288,5191.007488
1211526.751592,5191.681504
1211527.6475736,5192.577504
1211527.6635362,5192.593504
1211527.7436789,5192.673504
1211528.3087432,5193.238496
1211528.3846729,5193.315488
1211528.6517272,5193.581504
1211529.4296724,5194.359488
1211529.9616529,5194.891488
1211530.6195893,5195.549504
1211531.5087591,5196.439488
1211531.7116376,5196.642496
1211532.1785306,5197.10848
1211532.8745979,5197.80448
1211533.6155526,5198.545504
1211533.8065015,5198.73648
1211534.634555,5199.56448
1211535.3375336,5200.267488
1211535.9006513,5200.830496
1211536.6645833,5201.594496
1211536.9485763,5201.878496
1211537.6064792,5202.53648
1211538.1655257,5203.095488
1211538.8374437,5203.767488
1211538.9945287,5203.92448
1211539.1994703,5204.129504
1211539.8984096,5204.82848
1211540.8824886,5205.81248
1211541.5864583,5206.51648
1211541.7103933,5206.64048
1211542.71930525,5207.649504
1211543.42832635,5208.358496
1211543.58936115,5208.519488
1211543.72746815,5208.657504
1211544.71027665,5209.64048
1211545.53785815,5210.46848
1211545.86841825,5210.798496
1211546.60127995,5211.53248
1211547.44427385,5212.375488
1211548.24032405,5213.171488
1211548.25630425,5213.186496
1211549.13635985,5214.067488
1211549.76226485,5214.69248
1211549.79417165,5214.72448
1211550.69816415,5215.62848
1211550.94819155,5215.878496
1211551.16524595,5216.09648
1211552.03629005,5216.967488
1211552.20922505,5217.14048
1211552.67955765,5217.610496
1211553.05428725,5217.985504
1211553.29916575,5218.230496
1211553.82724485,5218.758496
1211554.60417615,5219.534496
1211555.36712665,5220.297504
1211555.39509305,5220.325504
1211555.73832885,5220.669504
1211556.09614015,5221.026496
1211557.02304805,5221.953504
1211557.38503125,5222.315488
1211557.77204505,5222.702496
1211558.06999725,5223.00048
1211558.15000405,5223.08048
1211558.57001525,5223.50048
1211559.23600605,5224.166496
1211559.41299755,5224.343488
1211559.47699605,5224.407488
1211559.82002425,5224.750496
1211560.54301155,5225.473504
1211561.46198555,5226.39248
1211562.32105815,5227.251488
1211562.42806305,5227.359488
1211563.30693605,5228.237504
1211564.09304735,5229.023488
1211564.84292495,5229.773504
1211565.24591965,5230.17648
1211565.27193905,5230.202496
1211565.81384995,5230.74448
1211566.57889555,5231.509504
1211567.47587575,5232.406496
1211568.4759489,5233.406496
1211569.3219255,5234.25248
1211570.1368176,5235.067488
1211570.3707923,5235.301504
1211571.1319457,5236.062496
1211571.8978509,5236.82848
1211572.087897,5237.018496
1211572.474762,5237.405504
1211572.8598918,5237.790496
1211573.8198048,5238.750496
1211574.317833,5239.24848
1211575.2818999,5240.213504
1211576.0847162,5241.015488
1211576.5857062,5241.51648
1211577.007823,5241.938496
1211577.7400019,5242.671488
1211578.5549438,5243.486496
1211578.7727064,5243.703488
1211579.1567327,5244.087488
1211579.8836415,5244.814496
1211580.0897827,5245.02048
1211580.9777077,5245.90848
1211581.1445624,5246.075488
1211581.40679,5246.337504
1211582.0225928,5246.953504
1211582.3046512,5247.235488
1211582.6816878,5247.61248
1211583.4435395,5248.374496
1211583.4765754,5248.407488
1211583.8427055,5248.773504
1211584.835576,5249.766496
1211585.6646726,5250.595488
1211586.2564585,5251.187488
1211586.2876945,5251.219488
1211586.646651,5251.578496
1211587.2066105,5252.137504
1211587.6876194,5252.618496
1211588.5235322,5253.454496
1211589.1825259,5254.113504
1211590.0694812,5255.00048
1211591.0834345,5256.014496
1211591.7554637,5256.686496
1211592.7155383,5257.646496
1211593.476382,5258.407488
1211593.9195534,5258.850496
1211594.8193067,5259.750496
1211595.1165082,5260.047488
1211595.5064477,5260.437504
1211595.8805277,5260.81248
1211595.9124633,5260.843488
1211596.52232995,5261.453504
1211597.34745035,5262.279488
1211597.50449105,5262.43648
1211597.54737405,5262.479488
1211598.24742585,5263.179488
1211598.37047575,5263.302496
1211599.06331805,5263.994496
1211599.60729765,5264.538496
1211600.23123395,5265.162496
1211600.73239765,5265.66448
1211601.13434705,5266.065504
1211601.56828735,5266.50048
1211601.94436485,5266.87648
1211601.97430145,5266.906496
1211602.96020915,5267.891488
1211603.63611555,5268.567488
1211604.01036525,5268.942496
1211604.78710825,5269.718496
1211604.92820705,5269.859488
1211605.80522035,5270.73648
1211606.07208035,5271.003488
1211607.05410535,5271.985504
1211607.63418165,5272.565504
1211608.12015825,5273.051488
1211608.85312915,5273.78448
1211609.39213235,5274.323488
1211610.31127405,5275.243488
1211610.71105945,5275.642496
1211611.55714995,5276.48848
1211612.27595925,5277.207488
1211613.26198925,5278.193504
1211614.25802535,5279.189504
1211614.65597485,5279.587488
1211614.66295475,5279.594496
1211615.43014975,5280.362496
1211615.61698225,5280.54848
1211616.28915915,5281.221504
1211616.85202005,5281.783488
1211617.19597005,5282.127488
1211617.43182685,5282.363488
1211618.30290685,5283.234496
1211619.25480635,5284.186496
1211619.46586995,5284.397504
1211619.62186015,5284.553504
1211620.11682735,5285.04848
1211620.70289145,5285.634496
1211621.01381985,5285.945504
1211621.96179375,5286.893504
1211622.75779625,5287.689504
1211623.52277195,5288.454496
1211624.0578106,5288.989504
1211624.5868653,5289.518496
1211624.8377655,5289.769504
1211625.3517576,5290.283488
1211626.1167948,5291.04848
1211626.7408913,5291.67248
1211626.9937985,5291.925504
1211627.6665922,5292.598496
1211627.9928344,5292.925504
1211628.1786906,5293.110496
1211628.3827154,5293.314496
1211628.6787599,5293.610496
1211629.3986844,5294.330496
1211630.3035968,5295.235488
1211630.8366205,5295.76848
1211631.2626315,5296.194496
1211631.3115473,5296.243488
1211631.6715697,5296.603488
1211631.9326231,5296.86448
1211632.7264842,5297.658496
1211632.741551,5297.673504
1211633.5826773,5298.514496
1211634.0186755,5298.950496
1211634.934508,5299.866496
1211634.9445207,5299.87648
1211635.27444,5300.206496
1211636.040479,5300.97248
1211636.4594821,5301.391488
1211637.4704825,5302.402496
1211637.6214789,5302.553504
1211637.8374989,5302.769504
1211638.8285353,5303.76048
1211639.4445344,5304.37648
1211639.5246264,5304.45648
1211639.7255388,5304.657504
1211640.1806886,5305.11248
1211640.927652,5305.86048
1211641.8234285,5306.755488
1211642.0693664,5307.001504
1211642.2164684,5307.14848
1211643.1535581,5308.085504
1211644.1485252,5309.081504
1211644.3924526,5309.325504
1211644.5553971,5309.48848
1211644.5875007,5309.52048
1211645.1784632,5310.110496
1211645.4135059,5310.346496
1211645.7284195,5310.661504
1211646.3663675,5311.299488
1211646.4503425,5311.383488
